Q,clip,W,D,required_ebn0_db,loss_vs_float_db,required_sigma_db,required_ci_low_db,required_ci_high_db
3,1.5,8,24,4.6791,0.5421,0.0173,4.6448,4.7129
3,1.5,8,32,4.4316,0.2946,0.0243,4.3897,4.4849
3,1.5,8,48,4.4169,0.2799,0.027,4.3708,4.4769
3,1.5,8,64,4.3704,0.2334,0.0217,4.3328,4.4175
3,2.0,8,24,4.643,0.506,0.0168,4.6094,4.675
3,2.0,8,32,4.3593,0.2223,0.0237,4.3185,4.4111
3,2.0,8,48,4.3686,0.2316,0.028,4.3211,4.4306
3,2.0,8,64,4.3162,0.1792,0.0223,4.2759,4.3634
3,2.5,8,24,4.6424,0.5054,0.0161,4.6102,4.6733
3,2.5,8,32,4.4369,0.2999,0.0244,4.3946,4.4907
3,2.5,8,48,4.3525,0.2155,0.024,4.3111,4.4051
3,2.5,8,64,4.3671,0.2301,0.0193,4.3329,4.4085
3,3.0,8,24,4.7296,0.5926,0.0136,4.7037,4.7568
3,3.0,8,32,4.4702,0.3332,0.0216,4.4311,4.5143
3,3.0,8,48,4.4721,0.3351,0.0268,4.4227,4.5235
3,3.0,8,64,4.4603,0.3233,0.026,4.4141,4.5141
4,1.5,10,24,4.6211,0.4841,0.0169,4.5869,4.6528
4,1.5,10,32,4.3757,0.2387,0.0193,4.3415,4.4169
4,1.5,10,48,4.3759,0.2389,0.0256,4.3322,4.4325
4,1.5,10,64,4.3474,0.2104,0.0198,4.3119,4.3896
4,2.0,10,24,4.5437,0.4067,0.019,4.5043,4.5792
4,2.0,10,32,4.3051,0.1681,0.0193,4.2702,4.3458
4,2.0,10,48,4.205,0.068,0.0191,4.1681,4.2435
4,2.0,10,64,4.2804,0.1434,0.0212,4.2412,4.3244
4,2.5,10,24,4.5158,0.3788,0.0191,4.4779,4.5518
4,2.5,10,32,4.2659,0.1289,0.0204,4.2287,4.3084
4,2.5,10,48,4.2195,0.0825,0.0199,4.1809,4.2592
4,2.5,10,64,4.1909,0.0539,0.0225,4.1461,4.2337
4,3.0,10,24,4.4847,0.3477,0.0197,4.4489,4.525
4,3.0,10,32,4.2836,0.1466,0.018,4.251,4.3216
4,3.0,10,48,4.2597,0.1227,0.0207,4.2211,4.3026
4,3.0,10,64,4.2395,0.1025,0.0172,4.2067,4.2742
5,1.5,10,24,4.5906,0.4536,0.0152,4.5604,4.6197
5,1.5,10,32,4.3831,0.2461,0.024,4.3419,4.436
5,1.5,10,48,4.3389,0.2019,0.0185,4.3058,4.3783
5,1.5,10,64,4.3439,0.2069,0.0203,4.3077,4.3875
5,2.0,10,24,4.5056,0.3686,0.0194,4.4674,4.5425
5,2.0,10,32,4.2404,0.1034,0.0166,4.2085,4.2738
5,2.0,10,48,4.2427,0.1057,0.0219,4.2014,4.2878
5,2.0,10,64,4.2057,0.0687,0.0208,4.1649,4.2461
5,2.5,10,24,4.4843,0.3473,0.0207,4.4454,4.5243
5,2.5,10,32,4.2306,0.0936,0.0166,4.1986,4.2637
5,2.5,10,48,4.1827,0.0457,0.0217,4.1393,4.2241
5,2.5,10,64,4.1838,0.0468,0.0201,4.1443,4.2226
5,3.0,10,24,4.5481,0.4111,0.0222,4.5015,4.5884
5,3.0,10,32,4.258,0.121,0.0199,4.2214,4.2994
5,3.0,10,48,4.1947,0.0577,0.0209,4.1538,4.2351
5,3.0,10,64,4.1801,0.0431,0.0228,4.1344,4.2232
6,1.5,12,24,4.6099,0.4729,0.0207,4.5672,4.6485
6,1.5,12,32,4.3788,0.2418,0.0229,4.3393,4.4287
6,1.5,12,48,4.3149,0.1779,0.0224,4.2749,4.3631
6,1.5,12,64,4.3575,0.2205,0.0247,4.3149,4.4114
6,2.0,12,24,4.5082,0.3712,0.0203,4.4671,4.5459
6,2.0,12,32,4.2798,0.1428,0.0184,4.2463,4.3184
6,2.0,12,48,4.1983,0.0613,0.0233,4.1516,4.2424
6,2.0,12,64,4.1859,0.0489,0.022,4.1421,4.2277
6,2.5,12,24,4.4458,0.3088,0.0219,4.4073,4.4937
6,2.5,12,32,4.2576,0.1206,0.0203,4.2201,4.2998
6,2.5,12,48,4.1745,0.0375,0.0209,4.1332,4.2146
6,2.5,12,64,4.1932,0.0562,0.0284,4.1367,4.2476
6,3.0,12,24,4.4534,0.3164,0.0201,4.4179,4.4968
6,3.0,12,32,4.1937,0.0567,0.0208,4.1524,4.2336
6,3.0,12,48,4.1758,0.0388,0.0206,4.1344,4.2149
6,3.0,12,64,4.1522,0.0152,0.0239,4.1031,4.1965
