config,kind,Q,clip,W,D,mode,metric,ebn0_db,ber,n_errors,n_bits,ci_low,ci_high
uncoded,uncoded,,,,,,,8.0,0.0001806640625,148,819200,0.00015247694415976938,0.00020885118084023062
uncoded,uncoded,,,,,,,10.0,4.446847098214286e-06,102,22937600,3.5858001675881487e-06,5.307894028840422e-06
float_soft_D64,float,,,,64,,soft,4.5,3.268334173387097e-06,83,25395200,1.4570796262401675e-06,5.0795887205340265e-06
uncoded,uncoded,,,,,,,9.0,3.731863839285714e-05,107,2867200,3.038267647940548e-05,4.4254600306308806e-05
float_hard_D64,float,,,,64,,hard,4.5,0.0017236328125,706,409600,0.0013644592589042023,0.0020828063660957973
float_soft_D64,float,,,,64,,soft,4.0,1.52587890625e-05,100,6553600,7.619032325628373e-06,2.2898545799371627e-05
float_soft_D64,float,,,,64,,soft,2.0,0.00500732421875,2051,409600,0.004303457353969816,0.0057111910835301845
float_hard_D64,float,,,,64,,hard,6.0,3.5574776785714285e-05,102,2867200,1.9919560563834785e-05,5.122999300759379e-05
float_hard_D64,float,,,,64,,hard,6.5,1.23291015625e-05,101,8192000,7.266206980171775e-06,1.7391996144828226e-05
float_hard_D64,float,,,,64,,hard,7.5,0.0,0,25395200,0.0,0.0
fx_Q3_clip1.5,fx,3,1.5,12,64,,,4.0,3.387451171875e-05,111,3276800,1.7787028497881993e-05,4.9961994939618016e-05
float_hard_D64,float,,,,64,,hard,7.0,1.4963457661290323e-06,38,25395200,5.89859781478804e-07,2.4028317507792604e-06
fx_Q3_clip1.5,fx,3,1.5,12,64,,,5.0,2.1657636088709678e-06,55,25395200,8.225438497281615e-07,3.508983368013774e-06
fx_Q3_clip1.5,fx,3,1.5,12,64,,,4.5,6.938733552631579e-06,108,15564800,4.1533531123911565e-06,9.724113992872002e-06
uncoded,uncoded,,,,,,,9.5,1.1430220170454546e-05,103,9011200,9.235596135824588e-06,1.3624844205084504e-05
fx_Q3_clip1.5,fx,3,1.5,12,64,,,5.5,1.968876008064516e-07,5,25395200,0.0,5.827872983870967e-07
fx_Q3_clip2.0,fx,3,2.0,12,64,,,4.5,5.6596235795454546e-06,102,18022400,3.15253209296529e-06,8.16671506612562e-06
fx_Q3_clip2.0,fx,3,2.0,12,64,,,4.0,5.37109375e-05,110,2048000,3.057843854542139e-05,7.684343645457861e-05
uncoded,uncoded,,,,,,,8.5,9.114583333333334e-05,112,1228800,7.429256255494277e-05,0.0001079991041117239
float_soft_D64,float,,,,64,,soft,3.0,0.0005517578125,226,409600,0.0003497149994675071,0.0007538006255324928
fx_Q3_clip2.0,fx,3,2.0,12,64,,,5.5,1.1813256048387097e-07,3,25395200,0.0,3.4967237903225807e-07
fx_Q3_clip2.5,fx,3,2.5,12,64,,,4.5,6.103515625e-06,105,17203200,3.6589545936838677e-06,8.548076656316133e-06
fx_Q3_clip2.5,fx,3,2.5,12,64,,,4.0,3.6349826388888886e-05,134,3686400,2.261633887580629e-05,5.008331390197148e-05
fx_Q3_clip2.0,fx,3,2.0,12,64,,,5.0,1.0238155241935483e-06,26,25395200,3.0817721825550454e-07,1.7394538301315921e-06
float_hard_D64,float,,,,64,,hard,5.5,0.00013916015625,114,819200,8.405715374217653e-05,0.00019426315875782345
