Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
3,1.5,8,24,4.0,0.00010532140731811523,3534,33554432,9.787996996907854e-05,0.00011276284466715193
3,1.5,8,24,4.5,1.9282102584838867e-05,647,33554432,1.6199873059857115e-05,2.236433210982062e-05
3,1.5,8,24,5.0,3.084540367126465e-06,414,134217728,2.528334576564559e-06,3.6407461576883707e-06
3,1.5,8,24,5.5,3.0795733133951825e-07,62,201326592,1.7662598415171104e-07,4.392886785273254e-07
3,1.5,8,32,4.0,4.598498344421387e-05,1543,33554432,4.068178194530525e-05,5.128818494312248e-05
3,1.5,8,32,4.5,7.852911949157715e-06,527,67108864,6.385372661778909e-06,9.32045123653652e-06
3,1.5,8,32,5.0,1.2814998626708984e-06,258,201326592,9.428990844105592e-07,1.6201006409312377e-06
3,1.5,8,32,5.5,9.934107462565105e-08,20,201326592,1.1183918387391574e-08,1.8749823086391052e-07
3,1.5,8,48,4.0,3.921985626220703e-05,1316,33554432,3.423751212545918e-05,4.4202200398954885e-05
3,1.5,8,48,4.5,7.614493370056152e-06,511,67108864,6.109574676362221e-06,9.119412063750084e-06
3,1.5,8,48,5.0,1.0083119074503581e-06,203,201326592,7.203679043333271e-07,1.2962559105673892e-06
3,1.5,8,48,5.5,1.9371509552001953e-07,39,201326592,7.018905027191763e-08,3.172411407681214e-07
3,1.5,8,64,4.0,4.178285598754883e-05,1402,33554432,3.634318284151442e-05,4.722252913358324e-05
3,1.5,8,64,4.5,6.064772605895996e-06,407,67108864,4.805680343421303e-06,7.323864868370689e-06
3,1.5,8,64,5.0,1.3311703999837239e-06,268,201326592,9.829140568786634e-07,1.6794267430887844e-06
3,1.5,8,64,5.5,2.483526865641276e-07,50,201326592,1.1136716007671031e-07,3.8533821305154493e-07
3,2.0,8,24,4.0,8.988380432128906e-05,3016,33554432,8.289456705515236e-05,9.687304158742577e-05
3,2.0,8,24,4.5,1.7344951629638672e-05,582,33554432,1.4609067134586935e-05,2.0080836124690407e-05
3,2.0,8,24,5.0,2.5272369384765624e-06,424,167772160,2.0770566197874178e-06,2.977417257165707e-06
3,2.0,8,24,5.5,2.7815500895182293e-07,56,201326592,1.3911040532198654e-07,4.171996125816593e-07
3,2.0,8,32,4.0,3.49581241607666e-05,1173,33554432,3.0501438755578637e-05,3.941480956595457e-05
3,2.0,8,32,4.5,6.124377250671387e-06,411,67108864,4.841143777765698e-06,7.407610723577075e-06
3,2.0,8,32,5.0,9.685754776000977e-07,195,201326592,6.731552391305959e-07,1.2639957160695994e-06
3,2.0,8,32,5.5,1.44044558207194e-07,29,201326592,2.520995127134038e-08,2.6287916514304764e-07
3,2.0,8,48,4.0,3.108382225036621e-05,1043,33554432,2.6608497930054515e-05,3.555914657067791e-05
3,2.0,8,48,4.5,6.67572021484375e-06,448,67108864,5.263823114440185e-06,8.087617315247315e-06
3,2.0,8,48,5.0,8.891026178995768e-07,179,201326592,6.129113084968575e-07,1.165293927302296e-06
3,2.0,8,48,5.5,8.443991343180339e-08,17,201326592,9.66143404409972e-09,1.5921839281950706e-07
3,2.0,8,64,4.0,2.619624137878418e-05,879,33554432,2.2062723179477033e-05,3.0329759578091326e-05
3,2.0,8,64,4.5,5.712111790974935e-06,575,100663296,4.676367675791157e-06,6.747855906158712e-06
3,2.0,8,64,5.0,1.1324882507324219e-06,228,201326592,8.182675549936645e-07,1.4467089464711791e-06
3,2.0,8,64,5.5,9.437402089436849e-08,19,201326592,0.0,2.0580055908782227e-07
3,2.5,8,24,4.0,9.581446647644043e-05,3215,33554432,8.878502964925905e-05,0.00010284390330362181
3,2.5,8,24,4.5,1.7344951629638672e-05,582,33554432,1.471461888782631e-05,1.9975284371451033e-05
3,2.5,8,24,5.0,2.5093555450439454e-06,421,167772160,2.0691361580012887e-06,2.949574932086602e-06
3,2.5,8,24,5.5,3.228584925333659e-07,65,201326592,1.9781251583906254e-07,4.4790446922766927e-07
3,2.5,8,32,4.0,4.988908767700195e-05,1674,33554432,4.4289166228690774e-05,5.548900912531313e-05
3,2.5,8,32,4.5,7.927417755126953e-06,532,67108864,6.391455399961028e-06,9.463380110292879e-06
3,2.5,8,32,5.0,1.2814998626708984e-06,258,201326592,9.516905393093763e-07,1.6113091860324206e-06
3,2.5,8,32,5.5,1.3907750447591147e-07,28,201326592,3.6049019463925765e-08,2.4210598948789717e-07
3,2.5,8,48,4.0,3.364682197570801e-05,1129,33554432,2.9168334847850798e-05,3.812530910356522e-05
3,2.5,8,48,4.5,6.020069122314453e-06,404,67108864,4.739801483735189e-06,7.300336760893717e-06
3,2.5,8,48,5.0,7.450580596923828e-07,150,201326592,4.968736611660447e-07,9.93242458218721e-07
3,2.5,8,48,5.5,2.1855036417643228e-07,44,201326592,8.225748696416808e-08,3.5484324138869646e-07
3,2.5,8,64,4.0,4.0411949157714844e-05,1356,33554432,3.534447396827266e-05,4.5479424347157025e-05
3,2.5,8,64,4.5,6.0300032297770185e-06,607,100663296,4.920116068616881e-06,7.139890390937156e-06
3,2.5,8,64,5.0,8.692344029744466e-07,175,201326592,6.074894030650544e-07,1.130979402883839e-06
3,2.5,8,64,5.5,1.5397866566975912e-07,31,201326592,4.4267826556880554e-08,2.636895047826377e-07
3,3.0,8,24,4.0,0.00012055039405822754,4045,33554432,0.00011284830509875441,0.00012825248301770068
3,3.0,8,24,4.5,2.5480985641479492e-05,855,33554432,2.202387154537372e-05,2.8938099737585266e-05
3,3.0,8,24,5.0,3.3229589462280273e-06,446,134217728,2.7675608065689367e-06,3.878357085887118e-06
3,3.0,8,24,5.5,3.973642985026042e-07,80,201326592,2.497293364850151e-07,5.449992605201933e-07
3,3.0,8,32,4.0,5.8531761169433594e-05,1964,33554432,5.235917510039833e-05,6.470434723846886e-05
3,3.0,8,32,4.5,8.940696716308594e-06,600,67108864,7.4280067848992745e-06,1.0453386647717913e-05
3,3.0,8,32,5.0,1.1722246805826824e-06,236,201326592,8.550048263087936e-07,1.489444534856571e-06
3,3.0,8,32,5.5,2.483526865641276e-07,50,201326592,1.007113573696976e-07,3.9599401575855765e-07
3,3.0,8,48,4.0,4.380941390991211e-05,1470,33554432,3.864715430824445e-05,4.897167351157977e-05
3,3.0,8,48,4.5,9.164214134216309e-06,615,67108864,7.5034891737234845e-06,1.0824939094709133e-05
3,3.0,8,48,5.0,1.296401023864746e-06,261,201326592,9.41804241501869e-07,1.6509978062276232e-06
3,3.0,8,48,5.5,1.341104507446289e-07,27,201326592,4.330615274495793e-08,2.2491474874429988e-07
3,3.0,8,64,4.0,4.190206527709961e-05,1406,33554432,3.6817185362259914e-05,4.6986945191939304e-05
3,3.0,8,64,4.5,8.83638858795166e-06,593,67108864,7.322817121421036e-06,1.0349960054482285e-05
3,3.0,8,64,5.0,1.5596548716227214e-06,314,201326592,1.1819120678225307e-06,1.937397675422912e-06
3,3.0,8,64,5.5,3.228584925333659e-07,65,201326592,1.4467621433273296e-07,5.010407707339989e-07
4,1.5,10,24,4.0,8.109211921691895e-05,2721,33554432,7.469456629837351e-05,8.748967213546438e-05
