tag,Q,W,D,clip,snr_db,n_frames,n_bits,n_stages,mismatches,out_bad,sha256_ok,g6_fired,stimulus_sha256,expected_sha256
Q6_W12_D64_snr1.0,6,12,64,3.0,1.0,20000,20480000,20600000,0,0,True,False,2333ee599ff60d09bbba36e283f1a2c2922017368306bc7f2353fe3470d9d515,c48317d6febbe53633dda7bcc7784b838fbfefe591d318c00056853f5d5868fd
Q6_W12_D64_snr3.0,6,12,64,3.0,3.0,20000,20480000,20600000,0,0,True,False,14fde84170c5455a84e9647804e26a257828b9dfae893c5d2e76eebf6b2aa9ab,c51a555e32543067fc50ddcb79c64568a3f7aa3224b1be4b80677a3434788e12
Q6_W12_D64_snr5.0,6,12,64,3.0,5.0,20000,20480000,20600000,0,0,True,False,c2c568a27d9534d395a5e22d87dd3b60e561dedab207baec43daf382010f9ae0,5e38c9915f793052e1a5cf4ca0bfc88aaf8ad75cbc6618d7cec04f867718975a
Q6_W12_D32_snr1.0,6,12,32,3.0,1.0,20000,20480000,20600000,0,0,True,False,50466135af7f6a1514f75c4f42df0205644f178e35f43ccc8ff6c7a42d3da13f,751eb92681a04b13d333f448463095b701c23fc7592816ff4f55b62b38772d4e
Q6_W12_D32_snr3.0,6,12,32,3.0,3.0,20000,20480000,20600000,0,0,True,False,2a29df651fdfa6fa6c4974f3ebc31b169bf2808fb0098c607e990e6b82abc16f,61b1c308277f70f98be31d0a3989f09f7c984c858b72ba73f689bd2ce4cbe809
Q6_W12_D32_snr5.0,6,12,32,3.0,5.0,20000,20480000,20600000,0,0,True,False,5b3af924771046250f771fd06c9f34bf4b77da428cc313c33b6d8adf2538e65f,d8d75aa5051a7304bf1f8c09ec41df604761be59f83a98ccbf37e96956d9613a
Q4_W10_D64_snr1.0,4,10,64,2.5,1.0,20000,20480000,20600000,0,0,True,False,41f98ac2d8e127e2b50527ce4f6eb72ab3b3cb743815057a5c89b49b86e76bc2,eb81c881a6b3a3e775c35816a862fead93c46edb856b29ff3956d97abb4ed04a
Q4_W10_D64_snr3.0,4,10,64,2.5,3.0,20000,20480000,20600000,0,0,True,False,7db8d207cfab2833445f445addb2f70bd7af11419b94a7b2c0ac80b3ffcce1eb,090bb98668a7e96cd9d23486ca7b8fa8ae37a6d7795831462e96c6eb694ea9f9
Q4_W10_D64_snr5.0,4,10,64,2.5,5.0,20000,20480000,20600000,0,0,True,False,e3880f0f35909e99c7d9861bbd7e86338ad9a898160d0936e19b44d1e1b0e252,f7339cd3c0ac95b24cd6422c87296f7a8b39ff5c20a9793330604433e2f71e2a
Q3_W8_D32_snr1.0,3,8,32,2.0,1.0,20000,20480000,20600000,0,0,True,False,60d713be98416245e60cc7e283322b49f8110eb2c7972263e3410586534b78a7,3715c98d20a7432d7785c7f34909ff286e70231d2769321f4fc6c3a470de4288
Q3_W8_D32_snr3.0,3,8,32,2.0,3.0,20000,20480000,20600000,0,0,True,False,73eba57e92e5d6ebecdcbbd5a81f998e6033d539408480218c294f246576d076,74ef3ec4d052078426c0031c9496186c6c8033b5828ad09559d341af8b08e7d9
Q3_W8_D32_snr5.0,3,8,32,2.0,5.0,20000,20480000,20600000,0,0,True,False,7103251df14ca16b0dfcee1ff65152d49330d5e5f7c9ec4131c38a586f8f05a2,67301c07550f17fd7b28906deeffa4ee1428a37a2cd9acee9e683bf7d574b194
