adc_fom_fj,Q,W,D,e_dec_pj_per_bit,e_adc_pj_per_bit,adc_share_pct,model,env,eta_pa,dstar_no_adc_m,dstar_with_adc_m
10,3,8,32,240.9,0.16,0.07,A,free_space,0.1,153.59,153.64
10,3,8,32,240.9,0.16,0.07,A,indoor,0.1,17.76,17.76
10,3,8,32,240.9,0.16,0.07,B,free_space,0.1,2428.69,2428.7
10,3,8,32,240.9,0.16,0.07,B,indoor,0.1,86.0,86.0
10,4,10,64,440.8,0.32,0.07,A,free_space,0.1,206.06,206.14
10,4,10,64,440.8,0.32,0.07,A,indoor,0.1,21.0,21.01
10,4,10,64,440.8,0.32,0.07,B,free_space,0.1,2413.02,2413.03
10,4,10,64,440.8,0.32,0.07,B,indoor,0.1,85.68,85.68
10,6,12,32,303.2,1.28,0.42,A,free_space,0.1,170.93,171.29
10,6,12,32,303.2,1.28,0.42,A,indoor,0.1,18.88,18.9
10,6,12,32,303.2,1.28,0.42,B,free_space,0.1,2410.59,2410.62
10,6,12,32,303.2,1.28,0.42,B,indoor,0.1,85.63,85.63
10,6,12,64,469.6,1.28,0.27,A,free_space,0.1,212.32,212.61
10,6,12,64,469.6,1.28,0.27,A,indoor,0.1,21.37,21.38
10,6,12,64,469.6,1.28,0.27,B,free_space,0.1,2409.24,2409.27
10,6,12,64,469.6,1.28,0.27,B,indoor,0.1,85.61,85.61
100,3,8,32,240.9,1.6,0.66,A,free_space,0.1,153.59,154.09
100,3,8,32,240.9,1.6,0.66,A,indoor,0.1,17.76,17.79
100,3,8,32,240.9,1.6,0.66,B,free_space,0.1,2428.69,2428.73
100,3,8,32,240.9,1.6,0.66,B,indoor,0.1,86.0,86.0
100,4,10,64,440.8,3.2,0.72,A,free_space,0.1,206.06,206.81
100,4,10,64,440.8,3.2,0.72,A,indoor,0.1,21.0,21.05
100,4,10,64,440.8,3.2,0.72,B,free_space,0.1,2413.02,2413.09
100,4,10,64,440.8,3.2,0.72,B,indoor,0.1,85.68,85.68
100,6,12,32,303.2,12.8,4.05,A,free_space,0.1,170.93,174.5
100,6,12,32,303.2,12.8,4.05,A,indoor,0.1,18.88,19.1
100,6,12,32,303.2,12.8,4.05,B,free_space,0.1,2410.59,2410.85
100,6,12,32,303.2,12.8,4.05,B,indoor,0.1,85.63,85.64
100,6,12,64,469.6,12.8,2.65,A,free_space,0.1,212.32,215.2
100,6,12,64,469.6,12.8,2.65,A,indoor,0.1,21.37,21.53
100,6,12,64,469.6,12.8,2.65,B,free_space,0.1,2409.24,2409.5
100,6,12,64,469.6,12.8,2.65,B,indoor,0.1,85.61,85.61
500,3,8,32,240.9,8.0,3.21,A,free_space,0.1,153.59,156.11
500,3,8,32,240.9,8.0,3.21,A,indoor,0.1,17.76,17.92
500,3,8,32,240.9,8.0,3.21,B,free_space,0.1,2428.69,2428.86
500,3,8,32,240.9,8.0,3.21,B,indoor,0.1,86.0,86.0
500,4,10,64,440.8,16.0,3.5,A,free_space,0.1,206.06,209.77
500,4,10,64,440.8,16.0,3.5,A,indoor,0.1,21.0,21.22
500,4,10,64,440.8,16.0,3.5,B,free_space,0.1,2413.02,2413.34
500,4,10,64,440.8,16.0,3.5,B,indoor,0.1,85.68,85.69
500,6,12,32,303.2,64.0,17.43,A,free_space,0.1,170.93,188.11
500,6,12,32,303.2,64.0,17.43,A,indoor,0.1,18.88,19.94
500,6,12,32,303.2,64.0,17.43,B,free_space,0.1,2410.59,2411.87
500,6,12,32,303.2,64.0,17.43,B,indoor,0.1,85.63,85.66
500,6,12,64,469.6,64.0,11.99,A,free_space,0.1,212.32,226.33
500,6,12,64,469.6,64.0,11.99,A,indoor,0.1,21.37,22.16
500,6,12,64,469.6,64.0,11.99,B,free_space,0.1,2409.24,2410.52
500,6,12,64,469.6,64.0,11.99,B,indoor,0.1,85.61,85.63
