Q,W,D,clip,required_ebn0_db,required_sigma_db,e_dec_pj_per_bit,model,env,eta_pa,dstar_m,dstar_sigma_m,dstar_ci_low_m,dstar_ci_high_m
3,8,32,2.0,4.3593,0.0237,240.9,A,free_space,0.1,153.59,1.175,151.29,155.88
3,8,32,2.0,4.3593,0.0237,240.9,A,free_space,0.5,343.43,2.628,338.3,348.55
3,8,32,2.0,4.3593,0.0237,240.9,A,indoor,0.1,17.76,0.078,17.6,17.91
3,8,32,2.0,4.3593,0.0237,240.9,A,indoor,0.5,28.12,0.123,27.88,28.36
3,8,32,2.0,4.3593,0.0237,240.9,B,free_space,0.1,2428.69,18.413,2392.8,2464.73
3,8,32,2.0,4.3593,0.0237,240.9,B,free_space,0.5,5430.73,41.173,5350.45,5511.31
3,8,32,2.0,4.3593,0.0237,240.9,B,indoor,0.1,86.0,0.373,85.27,86.73
3,8,32,2.0,4.3593,0.0237,240.9,B,indoor,0.5,136.21,0.59,135.05,137.36
4,10,64,2.5,4.1909,0.0225,440.8,A,free_space,0.1,206.06,1.549,203.04,209.09
4,10,64,2.5,4.1909,0.0225,440.8,A,free_space,0.5,460.78,3.464,454.02,467.54
4,10,64,2.5,4.1909,0.0225,440.8,A,indoor,0.1,21.0,0.09,20.83,21.18
4,10,64,2.5,4.1909,0.0225,440.8,A,indoor,0.5,33.27,0.143,32.99,33.54
4,10,64,2.5,4.1909,0.0225,440.8,B,free_space,0.1,2413.02,17.964,2377.99,2448.07
4,10,64,2.5,4.1909,0.0225,440.8,B,free_space,0.5,5395.68,40.168,5317.36,5474.06
4,10,64,2.5,4.1909,0.0225,440.8,B,indoor,0.1,85.68,0.364,84.97,86.39
4,10,64,2.5,4.1909,0.0225,440.8,B,indoor,0.5,135.71,0.577,134.58,136.83
6,12,32,3.0,4.1937,0.0208,303.2,A,free_space,0.1,170.93,1.284,168.43,173.43
6,12,32,3.0,4.1937,0.0208,303.2,A,free_space,0.5,382.22,2.87,376.63,387.81
6,12,32,3.0,4.1937,0.0208,303.2,A,indoor,0.1,18.88,0.081,18.72,19.03
6,12,32,3.0,4.1937,0.0208,303.2,A,indoor,0.5,29.9,0.128,29.64,30.14
6,12,32,3.0,4.1937,0.0208,303.2,B,free_space,0.1,2410.59,17.925,2375.66,2445.57
6,12,32,3.0,4.1937,0.0208,303.2,B,free_space,0.5,5390.25,40.081,5312.13,5468.46
6,12,32,3.0,4.1937,0.0208,303.2,B,indoor,0.1,85.63,0.364,84.92,86.34
6,12,32,3.0,4.1937,0.0208,303.2,B,indoor,0.5,135.63,0.576,134.5,136.75
6,12,64,3.0,4.1522,0.0239,469.6,A,free_space,0.1,212.32,1.592,209.21,215.42
6,12,64,3.0,4.1522,0.0239,469.6,A,free_space,0.5,474.77,3.56,467.82,481.7
6,12,64,3.0,4.1522,0.0239,469.6,A,indoor,0.1,21.37,0.092,21.19,21.54
6,12,64,3.0,4.1522,0.0239,469.6,A,indoor,0.5,33.84,0.145,33.56,34.12
6,12,64,3.0,4.1522,0.0239,469.6,B,free_space,0.1,2409.24,17.89,2374.38,2444.2
6,12,64,3.0,4.1522,0.0239,469.6,B,free_space,0.5,5387.23,40.004,5309.27,5465.39
6,12,64,3.0,4.1522,0.0239,469.6,B,indoor,0.1,85.61,0.363,84.9,86.31
6,12,64,3.0,4.1522,0.0239,469.6,B,indoor,0.5,135.58,0.575,134.46,136.7
