snr_db,agc,tog_surv,duty_surv,tog_r,tog_r_b0,tog_r_b1,tog_r_b2,tog_r_b3,sigma_per_lsb,agree_true_path,duty_true_path,ber,want_eq_u,n_rails,case
-2.0,1,0.501059,0.469596,0.499393,0.497935,0.50243,0.495566,0.50164,3.0,0.898177,0.484245,0.43017578125,1,16,agc
0.0,1,0.499617,0.473773,0.500456,0.495141,0.503705,0.501154,0.501822,3.0,0.982422,0.501042,0.138916015625,1,16,agc
1.0,1,0.498926,0.475669,0.498284,0.500486,0.49757,0.493137,0.501944,3.0,0.992839,0.501693,0.05029296875,1,16,agc
2.0,1,0.498939,0.477951,0.50369,0.498664,0.504252,0.503948,0.507896,3.0,0.998958,0.494401,0.0084228515625,1,16,agc
3.0,1,0.501488,0.478527,0.503052,0.502612,0.503158,0.501518,0.50492,3.0,1.0,0.494141,0.0,1,16,agc
4.0,1,0.498423,0.481125,0.500076,0.50164,0.501215,0.499271,0.498178,3.0,1.0,0.502474,0.0,1,16,agc
5.0,1,0.498039,0.480734,0.499438,0.498421,0.49757,0.500304,0.501458,3.0,1.0,0.496354,0.0,1,16,agc
6.0,1,0.497804,0.483935,0.500805,0.507532,0.497753,0.500486,0.497449,3.0,1.0,0.502474,0.0,1,16,agc
10.0,1,0.500173,0.471382,0.500531,0.502551,0.499514,0.501397,0.498664,3.0,1.0,0.502344,0.0,1,16,agc
-2.0,0,0.500258,0.478466,0.502338,0.504373,0.496781,0.50826,0.499939,5.3348,0.891276,0.491146,0.427978515625,1,16,fixed
0.0,0,0.499489,0.478093,0.503325,0.50328,0.50656,0.504434,0.499028,4.2376,0.976172,0.494792,0.14599609375,1,16,fixed
1.0,0,0.496802,0.476995,0.501215,0.505345,0.497024,0.503827,0.498664,3.7768,0.993099,0.491406,0.050048828125,1,16,fixed
2.0,0,0.498102,0.477996,0.499438,0.50328,0.495688,0.502672,0.496113,3.3661,0.999479,0.490104,0.0035400390625,1,16,fixed
3.0,0,0.498313,0.47898,0.503705,0.506863,0.505224,0.50905,0.493683,3.0,0.99987,0.504036,0.0003662109375,1,16,fixed
4.0,0,0.495995,0.478686,0.497069,0.491861,0.502004,0.498664,0.495748,2.6738,1.0,0.495312,0.0,1,16,fixed
5.0,0,0.496532,0.479329,0.497996,0.495566,0.500243,0.500668,0.495505,2.383,1.0,0.502083,0.0,1,16,fixed
6.0,0,0.499133,0.478408,0.503629,0.508503,0.499575,0.501458,0.504981,2.1238,1.0,0.50026,0.0,1,16,fixed
10.0,0,0.497234,0.476551,0.500182,0.496599,0.505102,0.501458,0.49757,1.3401,1.0,0.498307,0.0,1,16,fixed
30.0,1,0.411291,0.290278,0.494169,0.494169,0.494169,0.494169,0.494169,3.0,1.0,0.505208,0.0,1,2,agc_hi
30.0,0,0.463405,0.376221,0.503599,0.504191,0.504191,0.504191,0.501822,0.134,1.0,0.497135,0.0,1,4,fixed_hi_sym
30.0,0,0.484214,0.462542,0.251503,0.504191,0.0,0.0,0.501822,0.134,1.0,0.497135,0.0,1,4,fixed_hi_asym
