Q,W,D,clip,power_gated,nf_db,p_circuit_mw,e_dec_pj_per_bit,model,env,eta_pa,dstar_m
3,8,32,2.0,True,3.0,20,240.9042,A,free_space,0.1,216.945
3,8,32,2.0,True,3.0,20,240.9042,A,indoor,0.1,21.63
3,8,32,2.0,True,3.0,20,240.9042,B,free_space,0.1,1988.575
3,8,32,2.0,True,3.0,20,240.9042,B,indoor,0.1,76.715
3,8,32,2.0,True,3.0,60,240.9042,A,free_space,0.1,216.945
3,8,32,2.0,True,3.0,60,240.9042,A,indoor,0.1,21.63
3,8,32,2.0,True,3.0,60,240.9042,B,free_space,0.1,3430.622
3,8,32,2.0,True,3.0,60,240.9042,B,indoor,0.1,104.764
3,8,32,2.0,True,3.0,120,240.9042,A,free_space,0.1,216.945
3,8,32,2.0,True,3.0,120,240.9042,A,indoor,0.1,21.63
3,8,32,2.0,True,3.0,120,240.9042,B,free_space,0.1,4846.779
3,8,32,2.0,True,3.0,120,240.9042,B,indoor,0.1,127.636
3,8,32,2.0,True,6.0,20,240.9042,A,free_space,0.1,153.585
3,8,32,2.0,True,6.0,20,240.9042,A,indoor,0.1,17.756
3,8,32,2.0,True,6.0,20,240.9042,B,free_space,0.1,1407.804
3,8,32,2.0,True,6.0,20,240.9042,B,indoor,0.1,62.975
3,8,32,2.0,True,6.0,60,240.9042,A,free_space,0.1,153.585
3,8,32,2.0,True,6.0,60,240.9042,A,indoor,0.1,17.756
3,8,32,2.0,True,6.0,60,240.9042,B,free_space,0.1,2428.694
3,8,32,2.0,True,6.0,60,240.9042,B,indoor,0.1,86.0
3,8,32,2.0,True,6.0,120,240.9042,A,free_space,0.1,153.585
3,8,32,2.0,True,6.0,120,240.9042,A,indoor,0.1,17.756
3,8,32,2.0,True,6.0,120,240.9042,B,free_space,0.1,3431.257
3,8,32,2.0,True,6.0,120,240.9042,B,indoor,0.1,104.775
3,8,32,2.0,True,10.0,20,240.9042,A,free_space,0.1,96.906
3,8,32,2.0,True,10.0,20,240.9042,A,indoor,0.1,13.648
3,8,32,2.0,True,10.0,20,240.9042,B,free_space,0.1,888.264
3,8,32,2.0,True,10.0,20,240.9042,B,indoor,0.1,48.404
3,8,32,2.0,True,10.0,60,240.9042,A,free_space,0.1,96.906
3,8,32,2.0,True,10.0,60,240.9042,A,indoor,0.1,13.648
3,8,32,2.0,True,10.0,60,240.9042,B,free_space,0.1,1532.403
3,8,32,2.0,True,10.0,60,240.9042,B,indoor,0.1,66.102
3,8,32,2.0,True,10.0,120,240.9042,A,free_space,0.1,96.906
3,8,32,2.0,True,10.0,120,240.9042,A,indoor,0.1,13.648
3,8,32,2.0,True,10.0,120,240.9042,B,free_space,0.1,2164.977
3,8,32,2.0,True,10.0,120,240.9042,B,indoor,0.1,80.533
3,8,32,2.0,False,3.0,20,241.032,A,free_space,0.1,217.002
3,8,32,2.0,False,3.0,20,241.032,A,indoor,0.1,21.633
3,8,32,2.0,False,3.0,20,241.032,B,free_space,0.1,1988.582
3,8,32,2.0,False,3.0,20,241.032,B,indoor,0.1,76.715
3,8,32,2.0,False,3.0,60,241.032,A,free_space,0.1,217.002
3,8,32,2.0,False,3.0,60,241.032,A,indoor,0.1,21.633
3,8,32,2.0,False,3.0,60,241.032,B,free_space,0.1,3430.626
3,8,32,2.0,False,3.0,60,241.032,B,indoor,0.1,104.764
3,8,32,2.0,False,3.0,120,241.032,A,free_space,0.1,217.002
3,8,32,2.0,False,3.0,120,241.032,A,indoor,0.1,21.633
3,8,32,2.0,False,3.0,120,241.032,B,free_space,0.1,4846.782
3,8,32,2.0,False,3.0,120,241.032,B,indoor,0.1,127.636
3,8,32,2.0,False,6.0,20,241.032,A,free_space,0.1,153.626
3,8,32,2.0,False,6.0,20,241.032,A,indoor,0.1,17.759
3,8,32,2.0,False,6.0,20,241.032,B,free_space,0.1,1407.808
3,8,32,2.0,False,6.0,20,241.032,B,indoor,0.1,62.975
3,8,32,2.0,False,6.0,60,241.032,A,free_space,0.1,153.626
3,8,32,2.0,False,6.0,60,241.032,A,indoor,0.1,17.759
3,8,32,2.0,False,6.0,60,241.032,B,free_space,0.1,2428.697
3,8,32,2.0,False,6.0,60,241.032,B,indoor,0.1,86.0
3,8,32,2.0,False,6.0,120,241.032,A,free_space,0.1,153.626
3,8,32,2.0,False,6.0,120,241.032,A,indoor,0.1,17.759
3,8,32,2.0,False,6.0,120,241.032,B,free_space,0.1,3431.259
3,8,32,2.0,False,6.0,120,241.032,B,indoor,0.1,104.775
3,8,32,2.0,False,10.0,20,241.032,A,free_space,0.1,96.931
3,8,32,2.0,False,10.0,20,241.032,A,indoor,0.1,13.65
3,8,32,2.0,False,10.0,20,241.032,B,free_space,0.1,888.267
3,8,32,2.0,False,10.0,20,241.032,B,indoor,0.1,48.404
3,8,32,2.0,False,10.0,60,241.032,A,free_space,0.1,96.931
3,8,32,2.0,False,10.0,60,241.032,A,indoor,0.1,13.65
3,8,32,2.0,False,10.0,60,241.032,B,free_space,0.1,1532.404
3,8,32,2.0,False,10.0,60,241.032,B,indoor,0.1,66.102
3,8,32,2.0,False,10.0,120,241.032,A,free_space,0.1,96.931
3,8,32,2.0,False,10.0,120,241.032,A,indoor,0.1,13.65
3,8,32,2.0,False,10.0,120,241.032,B,free_space,0.1,2164.978
3,8,32,2.0,False,10.0,120,241.032,B,indoor,0.1,80.533
4,10,64,2.5,True,3.0,20,440.773,A,free_space,0.1,291.074
4,10,64,2.5,True,3.0,20,440.773,A,indoor,0.1,25.586
4,10,64,2.5,True,3.0,20,440.773,B,free_space,0.1,1982.19
4,10,64,2.5,True,3.0,20,440.773,B,indoor,0.1,76.574
4,10,64,2.5,True,3.0,60,440.773,A,free_space,0.1,291.074
4,10,64,2.5,True,3.0,60,440.773,A,indoor,0.1,25.586
4,10,64,2.5,True,3.0,60,440.773,B,free_space,0.1,3408.486
4,10,64,2.5,True,3.0,60,440.773,B,indoor,0.1,104.377
4,10,64,2.5,True,3.0,120,440.773,A,free_space,0.1,291.074
4,10,64,2.5,True,3.0,120,440.773,A,indoor,0.1,25.586
4,10,64,2.5,True,3.0,120,440.773,B,free_space,0.1,4811.531
4,10,64,2.5,True,3.0,120,440.773,B,indoor,0.1,127.105
4,10,64,2.5,True,6.0,20,440.773,A,free_space,0.1,206.065
4,10,64,2.5,True,6.0,20,440.773,A,indoor,0.1,21.003
4,10,64,2.5,True,6.0,20,440.773,B,free_space,0.1,1403.283
