tb_factor,e_dec_q3_pj_per_bit,e_dec_q6_pj_per_bit,e_dec_ratio,model,env,eta_pa,dstar_q3_m,dstar_q6_m,delta_dstar_pct
1.0,240.9,303.2,1.2586,A,free_space,0.1,153.59,170.93,11.29
1.0,240.9,303.2,1.2586,A,indoor,0.1,17.76,18.88,6.31
1.0,240.9,303.2,1.2586,B,free_space,0.1,2428.69,2410.59,-0.75
1.0,240.9,303.2,1.2586,B,indoor,0.1,86.0,85.63,-0.43
0.5,175.6,238.0,1.3551,A,free_space,0.1,131.14,151.44,15.48
0.5,175.6,238.0,1.3551,A,indoor,0.1,16.22,17.61,8.57
0.5,175.6,238.0,1.3551,B,free_space,0.1,2427.38,2409.29,-0.75
0.5,175.6,238.0,1.3551,B,indoor,0.1,85.97,85.61,-0.43
0.2,136.5,198.9,1.4572,A,free_space,0.1,115.59,138.43,19.75
0.2,136.5,198.9,1.4572,A,indoor,0.1,15.09,16.73,10.85
0.2,136.5,198.9,1.4572,B,free_space,0.1,2426.59,2408.51,-0.75
0.2,136.5,198.9,1.4572,B,indoor,0.1,85.96,85.59,-0.43
0.1,123.4,185.8,1.5056,A,free_space,0.1,109.93,133.81,21.73
0.1,123.4,185.8,1.5056,A,indoor,0.1,14.67,16.41,11.89
0.1,123.4,185.8,1.5056,B,free_space,0.1,2426.32,2408.25,-0.75
0.1,123.4,185.8,1.5056,B,indoor,0.1,85.95,85.59,-0.43
