tag,snr_db,frames,n_cycles,signal,n_nets,tc_per_cycle,duty,desc
Q3_W8_D32,3.0,3,3209.6,in_r,6,0.481784,0.496386,通道軟值 r（解碼器的輸入）
Q3_W8_D32,3.0,3,3209.6,bm,16,0.477922,0.486118,分支度量 bm[4]
Q3_W8_D32,3.0,3,3209.6,pm,512,0.320817,0.498604,路徑度量 pm[64]（累加器）
Q3_W8_D32,3.0,3,3209.6,surv,64,0.480351,0.462874,倖存者決策（暫存後）
Q3_W8_D32,3.0,3,3209.6,surv_comb,64,0.48056,0.464105,倖存者決策（組合，含 glitch）
Q3_W8_D32,3.0,3,3209.6,re,2048,0.38606,0.494692,register-exchange 暫存器
Q3_W8_D32,3.0,3,3209.6,best,6,0.483653,0.481316,min-PM 的 argmin 輸出
Q4_W10_D64,1.0,3,3305.6,in_r,8,0.465006,0.497183,通道軟值 r（解碼器的輸入）
Q4_W10_D64,1.0,3,3305.6,bm,20,0.466738,0.494352,分支度量 bm[4]
Q4_W10_D64,1.0,3,3305.6,pm,640,0.296901,0.495998,路徑度量 pm[64]（累加器）
Q4_W10_D64,1.0,3,3305.6,surv,64,0.466112,0.474687,倖存者決策（暫存後）
Q4_W10_D64,1.0,3,3305.6,surv_comb,64,0.466514,0.471949,倖存者決策（組合，含 glitch）
Q4_W10_D64,1.0,3,3305.6,re,4096,0.410247,0.477555,register-exchange 暫存器
Q4_W10_D64,1.0,3,3305.6,best,6,0.466179,0.470968,min-PM 的 argmin 輸出
Q4_W10_D64,2.0,3,3305.6,in_r,8,0.466179,0.513088,通道軟值 r（解碼器的輸入）
Q4_W10_D64,2.0,3,3305.6,bm,20,0.466118,0.494155,分支度量 bm[4]
Q4_W10_D64,2.0,3,3305.6,pm,640,0.296017,0.500257,路徑度量 pm[64]（累加器）
Q4_W10_D64,2.0,3,3305.6,surv,64,0.461792,0.482179,倖存者決策（暫存後）
Q4_W10_D64,2.0,3,3305.6,surv_comb,64,0.462227,0.465544,倖存者決策（組合，含 glitch）
Q4_W10_D64,2.0,3,3305.6,re,4096,0.409324,0.480582,register-exchange 暫存器
Q4_W10_D64,2.0,3,3305.6,best,6,0.462649,0.460532,min-PM 的 argmin 輸出
